year,country,countryISO,gini,lnGDPpc,lnGDPpc2,lnGDPpc3,lnGDPpc4,lnGDPpc5,rents,land,trade,fdi,area,gasoline,areaXgasoline,polity2,federal,lnGPDpcXfederal,aid,school,ethnic_gini,t1,t2,t3,t4,t5
3,Afghanistan,AFG,0.0967874,6.861248,47.07673,323.0052,2216.217954,15206.021,0.020423,0.118905,1.18904,0.020027,652230,0.4574087,0.0298336,,0,0,0.1000087,0.158146,0.5857092,0,0,1,0,0
4,Afghanistan,AFG,0.1085576,7.050077,49.70359,350.4142,2470.446432,17416.83757,0.018173,0.119528,0.823128,0.024351,652230,0.8165897,0.0532604,,0,0,0.146015,0.320381,0.5598261,0,0,0,1,0
5,Afghanistan,AFG,0.1148647,7.346541,53.97167,396.5051,2912.940587,21400.03745,0.015523,0.119413,0.499759,0.004812,652230,1.082251,0.0705876,,0,0,0.1347141,0.519966,0.5102745,0,0,0,0,1
1,Albania,ALB,0.0559788,7.955415,63.28862,503.4872,4005.450412,31865.02029,0.095614,0.210706,0.760066,0.034037,27400,,,0.5,0,0,0.0478255,0.652156,0.048722,1,0,0,0,0
2,Albania,ALB,0.0520735,8.261764,68.25674,563.921,4658.983155,38491.41931,0.018417,0.210657,0.472393,0.02178,27400,1.00218,0.002746,0.40000001,0,0,0.0332837,0.645395,0.038154,0,1,0,0,0
3,Albania,ALB,0.050559,8.591371,73.81165,634.1432,5448.160511,46807.16822,0.013624,0.210949,0.628667,0.039404,27400,0.925057,0.0025347,0.62,0,0,0.0277547,0.716317,0.0279827,0,0,1,0,0
4,Albania,ALB,0.0531045,8.927749,79.7047,711.5835,6352.839554,56716.55697,0.026115,0.213066,0.791997,0.067149,27400,1.32896,0.0036413,0.89999998,0,0,0.0151295,0.811128,0.0181399,0,0,0,1,0
5,Albania,ALB,0.0534339,9.074133,82.33989,747.1631,6779.857436,61521.3281,0.047945,0.227141,0.871316,0.082428,27400,1.454869,0.0039863,0.89999998,0,0,0.0124039,,0.0136836,0,0,0,0,1
1,Algeria,DZA,0.0828752,9.024398,81.43976,734.9448,6632.434389,59853.72763,0.149068,0.03159,0.475654,0.000625,2381740,0.2604627,0.0620354,-0.69999999,0,0,0.0023945,0.572804,0.2927437,1,0,0,0,0
2,Algeria,DZA,0.0837103,9.039112,81.70555,738.5456,6675.796206,60343.2696,0.183664,0.03193,0.513455,0.007433,2381740,0.4246402,0.1011383,-0.30000001,0,0,0.0017611,0.586379,0.3014709,0,1,0,0,0
